,name,company,year,Price,kms_driven,fuel_type
848,Hyundai Getz,Hyundai,2006,125000,80000,Petrol
849,Mercedes Benz C,Mercedes,2006,500001,15000,Petrol
850,Maruti Suzuki Alto,Maruti,2005,95000,65000,Petrol
851,Maruti Suzuki Swift,Maruti,2009,250000,51000,Diesel
852,Skoda Fabia,Skoda,2009,110000,45000,Petrol
853,Rolls Royce Dawn,RollRoyce,2015,43400000,70000,Petrol
854,Maruti Suzuki Ritz,Maruti,2011,270000,50000,Petrol
855,Rolls Royce Ghost,RollRoyce,2019,64450000,23000,Diesel
856,Tata Indica V2,Tata,2009,110000,30000,Diesel
857,Toyota Corolla Altis,Toyota,2009,300000,132000,Petrol
858,Porsche Taycan,Porsche,2018,28310000,12000,Diesel
859,Tata Zest XM,Tata,2018,260000,27000,Diesel
860,Mahindra Quanto C8,Mahindra,2013,390000,40000,Diesel
861,Honda Amaze 1.2,Honda,2014,480000,30000,Petrol
862,Chevrolet Sail 1.2,Chevrolet,2014,360000,30000,Petrol
